"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Cody Latimer",3000,"Den@Chi 01:00PM ET",0.750,"Den"
"WR","Brittan Golden",3000,"Cin@Ari 08:30PM ET",0.000,"Ari"
"WR","Cordarrelle Patterson",3000,"GB@Min 04:25PM ET",1.167,"Min"
"RB","Trey Williams",3000,"Dal@Mia 01:00PM ET",0,"Dal"
"RB","Damien Williams",3000,"Dal@Mia 01:00PM ET",2.333,"Mia"
"WR","Seth Roberts",3000,"Oak@Det 01:00PM ET",4.833,"Oak"
"RB","Cameron Artis-Payne",3000,"Was@Car 01:00PM ET",0.775,"Car"
"WR","Lucky Whitehead",3000,"Dal@Mia 01:00PM ET",0.900,"Dal"
"WR","Jaelen Strong",3000,"NYJ@Hou 01:00PM ET",5.200,"Hou"
"WR","Adam Thielen",3000,"GB@Min 04:25PM ET",2.444,"Min"
"WR","Mario Alford",3000,"Cin@Ari 08:30PM ET",0,"Cin"
"WR","Jeff Janis",3000,"GB@Min 04:25PM ET",1.100,"GB"
"WR","Donteea Dye",3000,"TB@Phi 01:00PM ET",2.520,"TB"
"TE","Brent Celek",2900,"TB@Phi 01:00PM ET",5.167,"Phi"
"TE","Zach Miller",2900,"Den@Chi 01:00PM ET",5.278,"Chi"
"TE","Kyle Rudolph",2900,"GB@Min 04:25PM ET",6.578,"Min"
"DST","Ravens ",2700,"StL@Bal 01:00PM ET",5.444,"Bal"
"TE","Owen Daniels",2700,"Den@Chi 01:00PM ET",7.722,"Den"
"TE","Justin Perillo",2700,"GB@Min 04:25PM ET",5.375,"GB"
"DST","Chiefs ",2600,"KC@SD 04:05PM ET",8.556,"KC"
"DST","Raiders ",2600,"Oak@Det 01:00PM ET",5.667,"Oak"
"DST","Texans ",2500,"NYJ@Hou 01:00PM ET",7.222,"Hou"
"DST","Dolphins ",2500,"Dal@Mia 01:00PM ET",6.778,"Mia"
"TE","Mike Leach",2500,"Cin@Ari 08:30PM ET",0.000,"Ari"
"TE","Vernon Davis",2500,"Den@Chi 01:00PM ET",5.163,"Den"
"TE","Clark Harris",2500,"Cin@Ari 08:30PM ET",0.000,"Cin"
"TE","Brandon Pettigrew",2500,"Oak@Det 01:00PM ET",3.275,"Det"
"TE","Kellen Davis",2500,"NYJ@Hou 01:00PM ET",0.789,"NYJ"
"TE","Brandon Myers",2500,"TB@Phi 01:00PM ET",2.744,"TB"
"TE","Darren Fells",2500,"Cin@Ari 08:30PM ET",5.814,"Ari"
"TE","Tony Moeaki",2500,"Ind@Atl 01:00PM ET",0.420,"Atl"
"TE","David Johnson",2500,"KC@SD 04:05PM ET",0.022,"SD"
"TE","Ed Dickson",2500,"Was@Car 01:00PM ET",3.556,"Car"
"TE","Jared Cook",2500,"StL@Bal 01:00PM ET",5.778,"StL"
"TE","Garrett Graham",2500,"NYJ@Hou 01:00PM ET",1.625,"Hou"
"TE","Andrew DePaola",2500,"TB@Phi 01:00PM ET",0.000,"TB"
"TE","Anthony McCoy",2500,"Was@Car 01:00PM ET",0.000,"Was"
"TE","Virgil Green",2500,"Den@Chi 01:00PM ET",2.889,"Den"
"TE","John Phillips",2500,"KC@SD 04:05PM ET",2.133,"SD"
"TE","Richard Gordon",2500,"Den@Chi 01:00PM ET",0.000,"Den"
"TE","Kyle Nelson",2500,"SF@Sea 04:25PM ET",0.000,"SF"
"TE","Lance Kendricks",2500,"StL@Bal 01:00PM ET",3.763,"StL"
"TE","Jermaine Gresham",2500,"Cin@Ari 08:30PM ET",3.867,"Ari"
"TE","Jeff Cumberland",2500,"NYJ@Hou 01:00PM ET",1.588,"NYJ"
"TE","Lee Smith",2500,"Oak@Det 01:00PM ET",1.511,"Oak"
"TE","Luke Stocker",2500,"TB@Phi 01:00PM ET",0.743,"TB"
"TE","Sean McGrath",2500,"KC@SD 04:05PM ET",0,"SD"
"TE","Jordan Cameron",2500,"Dal@Mia 01:00PM ET",5.978,"Mia"
"TE","Rhett Ellison",2500,"GB@Min 04:25PM ET",2.038,"Min"
"TE","Garrett Celek",2500,"SF@Sea 04:25PM ET",5.567,"SF"
"TE","James Hanna",2500,"Dal@Mia 01:00PM ET",0.614,"Dal"
"TE","Jake Stoneburner",2500,"Dal@Mia 01:00PM ET",3.617,"Mia"
"TE","Mychal Rivera",2500,"Oak@Det 01:00PM ET",3.633,"Oak"
"TE","Cory Harkey",2500,"StL@Bal 01:00PM ET",0.311,"StL"
"TE","Dwayne Allen",2500,"Ind@Atl 01:00PM ET",3.214,"Ind"
"TE","Kevin McDermott",2500,"GB@Min 04:25PM ET",0.000,"Min"
"TE","Tim Wright",2500,"Oak@Det 01:00PM ET",3.467,"Det"
"TE","Luke Willson",2500,"SF@Sea 04:25PM ET",3.438,"Sea"
"TE","James Winchester",2500,"KC@SD 04:05PM ET",0.000,"KC"
"TE","Jack Doyle",2500,"Ind@Atl 01:00PM ET",2.189,"Ind"
"TE","Vance McDonald",2500,"SF@Sea 04:25PM ET",1.925,"SF"
"TE","Ryan Hewitt",2500,"Cin@Ari 08:30PM ET",0.833,"Cin"
"TE","Levine Toilolo",2500,"Ind@Atl 01:00PM ET",1.289,"Atl"
"TE","Justice Cunningham",2500,"StL@Bal 01:00PM ET",0.000,"StL"
"TE","Gabe Holmes",2500,"Oak@Det 01:00PM ET",0,"Oak"
"TE","Gavin Escobar",2500,"Dal@Mia 01:00PM ET",1.622,"Dal"
"TE","Dion Sims",2500,"Dal@Mia 01:00PM ET",3.217,"Mia"
"TE","Brandon Williams",2500,"Dal@Mia 01:00PM ET",0.000,"Mia"
"TE","Cooper Helfet",2500,"SF@Sea 04:25PM ET",0.000,"Sea"
"TE","Trey Burton",2500,"TB@Phi 01:00PM ET",0.000,"Phi"
