2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
10,Cardinals D/ST D/ST,Cin,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,5.3
11,"Marquess Wilson, Chi WR",Den,Sun 1:00,0/0,0,0,0,0,0,0,3.2,42.5,0.2,5.3
12,"Doug Baldwin, Sea WR  P",SF,Sun 4:25,0/0,0,0,0,0,0,0,3.6,48.5,0.2,5.3
13,"Richard Rodgers, GB TE",@Min,Sun 4:25,0/0,0,0,0,0,0,0,3.3,36.2,0.4,5.3
14,"Chris Givens, Bal WR",StL,Sun 1:00,0/0,0,0,0,0.3,1.7,0,3.3,48.7,0.2,5.1
15,"Shaun Draughn, SF RB",@Sea,Sun 4:25,0/0,0,0,0,11.3,36.6,0.2,2.4,19.3,0,5.1
16,"Kenny Stills, Mia WR",Dal,Sun 1:00,0/0,0,0,0,0,0,0,2.9,41.1,0.2,5
17,Chiefs D/ST D/ST,@SD,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,5
18,Chargers D/ST D/ST,KC,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,4.9
19,Texans D/ST D/ST,NYJ,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.9
20,"Charles Sims, TB RB",@Phi,Sun 1:00,0/0,0,0,0,7.2,27.5,0.1,2.8,24,0.1,4.8
21,Raiders D/ST D/ST,@Det,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.7
22,"Javontee Herndon, SD WR",KC,Sun 4:05,0/0,0,0,0,0,0,0,2.1,34.1,0.2,4.7
23,"Torrey Smith, SF WR",@Sea,Sun 4:25,0/0,0,0,0,0,0,0,2.5,41,0.1,4.7
24,"Jonathan Grimes, Hou RB",NYJ,Sun 1:00,0/0,0,0,0,5.6,20.1,0,2.5,21.9,0.1,4.7
25,"Michael Floyd, Ari WR  Q",Cin,Sun 8:30,0/0,0,0,0,0,0,0,2.1,34.1,0.3,4.6
26,Vikings D/ST D/ST,GB,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,4.5
27,"Eddie Lacy, GB RB  P",@Min,Sun 4:25,0/0,0,0,0,8.1,34.8,0.2,1.4,9.8,0.1,4.4
28,"Andre Johnson, Ind WR",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,3.1,33.6,0.3,4.4
29,"Crockett Gillmore, Bal TE",StL,Sun 1:00,0/0,0,0,0,0,0,0,3.3,36,0.2,4.4
30,Bengals D/ST D/ST,@Ari,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,4.4
31,"Lance Moore, Det WR",Oak,Sun 1:00,0/0,0,0,0,0,0,0,2.7,34,0.2,4.4
32,Buccaneers D/ST D/ST,@Phi,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.4
33,"Dorial Green-Beckham, Ten WR",@Jax,L 13-19,0/0,0,0,0,0,0,0,2.9,39.4,0.2,4.4
34,Colts D/ST D/ST,@Atl,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.4
35,"Devin Funchess, Car WR",Wsh,Sun 1:00,0/0,0,0,0,0,0,0,2.3,32.9,0.2,4.4
36,"Mike Wallace, Min WR",GB,Sun 4:25,0/0,0,0,0,0,0,0,2.6,38.9,0.2,4.3
37,"Jordan Cameron, Mia TE",Dal,Sun 1:00,0/0,0,0,0,0,0,0,2.7,33.6,0.2,4.3
38,"Dwayne Allen, Ind TE",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,2.9,31.6,0.2,4.3
39,"Ryan Griffin, Hou TE",NYJ,Sun 1:00,0/0,0,0,0,0,0,0,2.9,35.2,0.2,4.2
40,49ers D/ST D/ST,@Sea,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,4.2
41,"Javorius Allen, Bal RB",StL,Sun 1:00,0/0,0,0,0,6,25.1,0.2,1.3,10.2,0,4.2
42,"Andre Ellington, Ari RB",Cin,Sun 8:30,0/0,0,0,0,3.6,16.1,0.1,2.3,21,0.1,4.2
2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
3,"Ka'Deem Carey, Chi RB",Den,Sun 1:00,0/0,0,0,0,8.7,33,0.2,0.6,4.7,0,4.1
4,"Joshua Bellamy, Chi WR",Den,Sun 1:00,0/0,0,0,0,0,0,0,2.7,34.8,0.2,4.1
5,"Vernon Davis, Den TE",@Chi,Sun 1:00,0/0,0,0,0,0,0,0,2.4,31.3,0.2,4.1
6,"Tyler Lockett, Sea WR",SF,Sun 4:25,0/0,0,0,0,0.1,0.9,0,2.3,33.1,0.1,4.1
7,"Jermaine Kearse, Sea WR",SF,Sun 4:25,0/0,0,0,0,0,0,0,2.2,33.3,0.2,4.1
8,"Roddy White, Atl WR",Ind,Sun 1:00,0/0,0,0,0,0,0,0,2.8,34.7,0.2,4
9,"Alfred Morris, Wsh RB  P",@Car,Sun 1:00,0/0,0,0,0,9.3,35.8,0.1,1.2,9.5,0,4
10,"Nelson Agholor, Phi WR",TB,Sun 1:00,0/0,0,0,0,0,0,0,2.3,31.9,0.2,4
11,"Clive Walford, Oak TE",@Det,Sun 1:00,0/0,0,0,0,0,0,0,1.9,23.2,0.3,3.9
12,"Scott Chandler, NE TE",Buf,Mon 8:30,0/0,0,0,0,0,0,0,1.9,22,0.3,3.8
13,"Seth Roberts, Oak WR",@Det,Sun 1:00,0/0,0,0,0,0,0,0,1.8,25.2,0.3,3.8
14,"Kenny Britt, StL WR",@Bal,Sun 1:00,0/0,0,0,0,0,0,0,2.2,33.2,0.1,3.7
15,"Vance McDonald, SF TE",@Sea,Sun 4:25,0/0,0,0,0,0,0,0,2.7,32.5,0.1,3.6
16,Bears D/ST D/ST,Den,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,3.6
17,"Jay Ajayi, Mia RB",Dal,Sun 1:00,0/0,0,0,0,6.3,27.7,0.3,0.6,5,0,3.6
18,"Mohamed Sanu, Cin WR",@Ari,Sun 8:30,0/0,0,0,0,0.2,1.6,0,2.4,29.8,0.3,3.6
19,"Keshawn Martin, NE WR  Q",Buf,Mon 8:30,0/0,0,0,0,0,0,0,2.3,26.3,0.3,3.5
